"","lon","lat","id","owner","taken","upload","views","tags","title","imageURL","device"
"347","-78.710595","35.796269","26152406359","89333651@N00","2017-10-18 21:59:13","2017-10-25 16:42:54","11","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4480/26152406359_20a536ce98.jpg","samsung SM-G955U1"
"348","-78.713014","35.795550","37928059221","89333651@N00","2017-10-18 21:16:01","2017-10-25 16:42:55","6","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4489/37928059221_1c8cf05e75.jpg","samsung SM-G955U1"
"349","-78.713014","35.795550","37928056241","89333651@N00","2017-10-18 21:18:53","2017-10-25 16:42:56","13","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4471/37928056241_2ac78759f0.jpg","samsung SM-G955U1"
"350","-78.710184","35.795508","37928055421","89333651@N00","2017-10-18 21:34:37","2017-10-25 16:42:57","11","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4466/37928055421_cfd97a8055.jpg","samsung SM-G955U1"
"351","-78.710509","35.796233","37928050271","89333651@N00","2017-10-18 21:59:41","2017-10-25 16:43:00","13","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4505/37928050271_204acc41df.jpg","samsung SM-G955U1"
"352","-78.712400","35.794975","37928048761","89333651@N00","2017-10-18 20:35:42","2017-10-25 16:43:01","12","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4452/37928048761_d2cec74e05.jpg","samsung SM-G955U1"
"353","-78.713014","35.795550","37928046991","89333651@N00","2017-10-18 21:13:32","2017-10-25 16:43:02","12","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4464/37928046991_ae74eb965d.jpg","samsung SM-G955U1"
"354","-78.710406","35.795438","26152393709","89333651@N00","2017-10-18 21:35:12","2017-10-25 16:43:05","12","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4455/26152393709_0f674f5e15.jpg","samsung SM-G955U1"
"355","-78.711659","35.797041","37874928866","89333651@N00","2017-10-18 21:45:14","2017-10-25 16:43:05","12","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4492/37874928866_429ca5a23b.jpg","samsung SM-G955U1"
"356","-78.712728","35.797080","37874926516","89333651@N00","2017-10-18 21:48:55","2017-10-25 16:43:06","11","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4504/37874926516_9e74c78bf1.jpg","samsung SM-G955U1"
